"category","skill_module","difficulty_tier","source_domain","item_count","trap_types","p1","p2","p3","items"
"B","Abstract Revision","C2-secure","atmospheric modelling","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_153"
"B","Abstract Revision","C2-secure","exoplanet spectroscopy","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_141"
"B","Abstract Revision","C2-secure","multimodal pathology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_129|ACC_189"
"B","Abstract Revision","C2-secure","permafrost carbon science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_105|ACC_165"
"B","Abstract Revision","C2-secure","tabular machine learning","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_117|ACC_177"
"B","Abstract Revision","PhD-screening","atmospheric health science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_138|ACC_198"
"B","Abstract Revision","PhD-screening","clinical AI","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_126|ACC_186"
"B","Abstract Revision","PhD-screening","conservation genomics","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_114|ACC_174"
"B","Abstract Revision","PhD-screening","embodied AI","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_150"
"B","Abstract Revision","PhD-screening","science communication","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_102|ACC_162"
"B","Lexico-Syntactic Control","C1-high","biodiversity monitoring","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_115|ACC_175"
"B","Lexico-Syntactic Control","C1-high","climate attribution","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_139|ACC_199"
"B","Lexico-Syntactic Control","C1-high","computational structural biology","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_151"
"B","Lexico-Syntactic Control","C1-high","energy systems","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_103|ACC_163"
"B","Lexico-Syntactic Control","C1-high","translational medicine","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_127|ACC_187"
"B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_136|ACC_196"
"B","Lexico-Syntactic Control","C2-entry","earth-system AI","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_124|ACC_184"
"B","Lexico-Syntactic Control","C2-entry","meta-science","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_160"
"B","Lexico-Syntactic Control","C2-entry","planetary atmospheres","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_112|ACC_172"
"B","Lexico-Syntactic Control","C2-entry","robotics","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_148"
"B","Lexico-Syntactic Control","C2-secure","biodiversity monitoring","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_145"
"B","Lexico-Syntactic Control","C2-secure","climate attribution","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_109|ACC_169"
"B","Lexico-Syntactic Control","C2-secure","computational structural biology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_121|ACC_181"
"B","Lexico-Syntactic Control","C2-secure","energy systems","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_133|ACC_193"
"B","Lexico-Syntactic Control","C2-secure","translational medicine","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_157"
"B","Lexico-Syntactic Control","PhD-screening","cryosphere geochemistry","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_106|ACC_166"
"B","Lexico-Syntactic Control","PhD-screening","earth-system AI","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_154"
"B","Lexico-Syntactic Control","PhD-screening","meta-science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_130|ACC_190"
"B","Lexico-Syntactic Control","PhD-screening","planetary atmospheres","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_142"
"B","Lexico-Syntactic Control","PhD-screening","robotics","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_118|ACC_178"
"B","Use of Academic English","C1-high","carbon-cycle science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_107|ACC_167"
"B","Use of Academic English","C1-high","climate modelling","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_155"
"B","Use of Academic English","C1-high","exoplanet atmospheric science","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_143"
"B","Use of Academic English","C1-high","research evaluation","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_131|ACC_191"
"B","Use of Academic English","C1-high","robotic perception","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_119|ACC_179"
"B","Use of Academic English","C2-entry","clean-energy planning","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_104|ACC_164"
"B","Use of Academic English","C2-entry","climate informatics","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_152"
"B","Use of Academic English","C2-entry","computational pathology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_128|ACC_188"
"B","Use of Academic English","C2-entry","environmental epidemiology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_140|ACC_200"
"B","Use of Academic English","C2-entry","machine learning methodology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_116|ACC_176"
"B","Use of Academic English","C2-secure","carbon-cycle science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_137|ACC_197"
"B","Use of Academic English","C2-secure","climate modelling","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_125|ACC_185"
"B","Use of Academic English","C2-secure","exoplanet atmospheric science","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_113|ACC_173"
"B","Use of Academic English","C2-secure","research evaluation","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_101|ACC_161"
"B","Use of Academic English","C2-secure","robotic perception","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_149"
"B","Use of Academic English","PhD-screening","clean-energy planning","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_134|ACC_194"
"B","Use of Academic English","PhD-screening","climate informatics","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_122|ACC_182"
"B","Use of Academic English","PhD-screening","computational pathology","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_158"
"B","Use of Academic English","PhD-screening","environmental epidemiology","2","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","2","ACC_110|ACC_170"
"B","Use of Academic English","PhD-screening","machine learning methodology","1","lexical near-miss|modal overclaim|scope inflation|syntactic inversion","0","0","1","ACC_146"
"C","Data Interpretation","C1-high","atmospheric health science","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_258"
"C","Data Interpretation","C1-high","clinical AI","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_246"
"C","Data Interpretation","C1-high","conservation genomics","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_234|ACC_294"
"C","Data Interpretation","C1-high","embodied AI","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_210|ACC_270"
"C","Data Interpretation","C1-high","science communication","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_222|ACC_282"
"C","Data Interpretation","C2-entry","atmospheric modelling","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_243"
"C","Data Interpretation","C2-entry","exoplanet spectroscopy","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_231|ACC_291"
"C","Data Interpretation","C2-entry","multimodal pathology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_219|ACC_279"
"C","Data Interpretation","C2-entry","permafrost carbon science","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_255"
"C","Data Interpretation","C2-entry","tabular machine learning","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_207|ACC_267"
"C","Data Interpretation","C2-secure","atmospheric health science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_228|ACC_288"
"C","Data Interpretation","C2-secure","clinical AI","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_216|ACC_276"
"C","Data Interpretation","C2-secure","conservation genomics","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_204|ACC_264"
"C","Data Interpretation","C2-secure","embodied AI","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_240|ACC_300"
"C","Data Interpretation","C2-secure","science communication","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_252"
"C","Data Interpretation","PhD-screening","atmospheric modelling","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_213|ACC_273"
"C","Data Interpretation","PhD-screening","exoplanet spectroscopy","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_201|ACC_261"
"C","Data Interpretation","PhD-screening","multimodal pathology","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_249"
"C","Data Interpretation","PhD-screening","permafrost carbon science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_225|ACC_285"
"C","Data Interpretation","PhD-screening","tabular machine learning","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_237|ACC_297"
"C","Evidence-to-Claim Mapping","C1-high","clean-energy planning","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_254"
"C","Evidence-to-Claim Mapping","C1-high","climate informatics","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_242"
"C","Evidence-to-Claim Mapping","C1-high","computational pathology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_218|ACC_278"
"C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_230|ACC_290"
"C","Evidence-to-Claim Mapping","C1-high","machine learning methodology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_206|ACC_266"
"C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_227|ACC_287"
"C","Evidence-to-Claim Mapping","C2-entry","climate modelling","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_215|ACC_275"
"C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_203|ACC_263"
"C","Evidence-to-Claim Mapping","C2-entry","research evaluation","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_251"
"C","Evidence-to-Claim Mapping","C2-entry","robotic perception","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_239|ACC_299"
"C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_224|ACC_284"
"C","Evidence-to-Claim Mapping","C2-secure","climate informatics","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_212|ACC_272"
"C","Evidence-to-Claim Mapping","C2-secure","computational pathology","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_248"
"C","Evidence-to-Claim Mapping","C2-secure","environmental epidemiology","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_260"
"C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_236|ACC_296"
"C","Evidence-to-Claim Mapping","PhD-screening","carbon-cycle science","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_257"
"C","Evidence-to-Claim Mapping","PhD-screening","climate modelling","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_245"
"C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_233|ACC_293"
"C","Evidence-to-Claim Mapping","PhD-screening","research evaluation","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_221|ACC_281"
"C","Evidence-to-Claim Mapping","PhD-screening","robotic perception","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_209|ACC_269"
"C","Methodological Reasoning","C1-high","cryosphere geochemistry","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_226|ACC_286"
"C","Methodological Reasoning","C1-high","earth-system AI","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_214|ACC_274"
"C","Methodological Reasoning","C1-high","meta-science","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_250"
"C","Methodological Reasoning","C1-high","planetary atmospheres","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_202|ACC_262"
"C","Methodological Reasoning","C1-high","robotics","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_238|ACC_298"
"C","Methodological Reasoning","C2-entry","biodiversity monitoring","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_235|ACC_295"
"C","Methodological Reasoning","C2-entry","climate attribution","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_259"
"C","Methodological Reasoning","C2-entry","computational structural biology","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_211|ACC_271"
"C","Methodological Reasoning","C2-entry","energy systems","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_223|ACC_283"
"C","Methodological Reasoning","C2-entry","translational medicine","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_247"
"C","Methodological Reasoning","C2-secure","cryosphere geochemistry","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_256"
"C","Methodological Reasoning","C2-secure","earth-system AI","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_244"
"C","Methodological Reasoning","C2-secure","meta-science","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_220|ACC_280"
"C","Methodological Reasoning","C2-secure","planetary atmospheres","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_232|ACC_292"
"C","Methodological Reasoning","C2-secure","robotics","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_208|ACC_268"
"C","Methodological Reasoning","PhD-screening","biodiversity monitoring","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_205|ACC_265"
"C","Methodological Reasoning","PhD-screening","climate attribution","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_229|ACC_289"
"C","Methodological Reasoning","PhD-screening","computational structural biology","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_241"
"C","Methodological Reasoning","PhD-screening","energy systems","1","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","1","ACC_253"
"C","Methodological Reasoning","PhD-screening","translational medicine","2","false causality|irrelevant policy leap|sample-size fallacy|statistical misread","0","0","2","ACC_217|ACC_277"
