"reviewer_id","item_id","decision","construct_alignment","key_defensibility","distractor_plausibility","language_quality","source_scope","severity","notes","reviewed_at","category","skill_module","difficulty_tier","source_domain"
"","ACC_118","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","robotics"
"","ACC_119","","","","","","","","","","B","Use of Academic English","C1-high","robotic perception"
"","ACC_120","","","","","","","","","","B","Abstract Revision","C2-entry","embodied AI"
"","ACC_121","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","computational structural biology"
"","ACC_122","","","","","","","","","","B","Use of Academic English","PhD-screening","climate informatics"
"","ACC_123","","","","","","","","","","B","Abstract Revision","C1-high","atmospheric modelling"
"","ACC_124","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","earth-system AI"
"","ACC_125","","","","","","","","","","B","Use of Academic English","C2-secure","climate modelling"
"","ACC_126","","","","","","","","","","B","Abstract Revision","PhD-screening","clinical AI"
"","ACC_127","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","translational medicine"
"","ACC_128","","","","","","","","","","B","Use of Academic English","C2-entry","computational pathology"
"","ACC_129","","","","","","","","","","B","Abstract Revision","C2-secure","multimodal pathology"
"","ACC_130","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","meta-science"
"","ACC_131","","","","","","","","","","B","Use of Academic English","C1-high","research evaluation"
"","ACC_132","","","","","","","","","","B","Abstract Revision","C2-entry","science communication"
"","ACC_133","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","energy systems"
"","ACC_134","","","","","","","","","","B","Use of Academic English","PhD-screening","clean-energy planning"
"","ACC_135","","","","","","","","","","B","Abstract Revision","C1-high","permafrost carbon science"
"","ACC_136","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry"
"","ACC_137","","","","","","","","","","B","Use of Academic English","C2-secure","carbon-cycle science"
"","ACC_138","","","","","","","","","","B","Abstract Revision","PhD-screening","atmospheric health science"
"","ACC_139","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","climate attribution"
"","ACC_140","","","","","","","","","","B","Use of Academic English","C2-entry","environmental epidemiology"
"","ACC_141","","","","","","","","","","B","Abstract Revision","C2-secure","exoplanet spectroscopy"
"","ACC_142","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","planetary atmospheres"
"","ACC_143","","","","","","","","","","B","Use of Academic English","C1-high","exoplanet atmospheric science"
"","ACC_144","","","","","","","","","","B","Abstract Revision","C2-entry","conservation genomics"
"","ACC_145","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","biodiversity monitoring"
"","ACC_146","","","","","","","","","","B","Use of Academic English","PhD-screening","machine learning methodology"
"","ACC_147","","","","","","","","","","B","Abstract Revision","C1-high","tabular machine learning"
"","ACC_148","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","robotics"
"","ACC_149","","","","","","","","","","B","Use of Academic English","C2-secure","robotic perception"
"","ACC_150","","","","","","","","","","B","Abstract Revision","PhD-screening","embodied AI"
"","ACC_151","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","computational structural biology"
"","ACC_152","","","","","","","","","","B","Use of Academic English","C2-entry","climate informatics"
"","ACC_153","","","","","","","","","","B","Abstract Revision","C2-secure","atmospheric modelling"
"","ACC_154","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","earth-system AI"
"","ACC_155","","","","","","","","","","B","Use of Academic English","C1-high","climate modelling"
"","ACC_156","","","","","","","","","","B","Abstract Revision","C2-entry","clinical AI"
"","ACC_157","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","translational medicine"
"","ACC_158","","","","","","","","","","B","Use of Academic English","PhD-screening","computational pathology"
"","ACC_159","","","","","","","","","","B","Abstract Revision","C1-high","multimodal pathology"
"","ACC_160","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","meta-science"
"","ACC_161","","","","","","","","","","B","Use of Academic English","C2-secure","research evaluation"
"","ACC_162","","","","","","","","","","B","Abstract Revision","PhD-screening","science communication"
"","ACC_163","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","energy systems"
"","ACC_164","","","","","","","","","","B","Use of Academic English","C2-entry","clean-energy planning"
"","ACC_165","","","","","","","","","","B","Abstract Revision","C2-secure","permafrost carbon science"
"","ACC_166","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","cryosphere geochemistry"
"","ACC_167","","","","","","","","","","B","Use of Academic English","C1-high","carbon-cycle science"
"","ACC_168","","","","","","","","","","B","Abstract Revision","C2-entry","atmospheric health science"
"","ACC_169","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","climate attribution"
"","ACC_170","","","","","","","","","","B","Use of Academic English","PhD-screening","environmental epidemiology"
"","ACC_171","","","","","","","","","","B","Abstract Revision","C1-high","exoplanet spectroscopy"
"","ACC_172","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","planetary atmospheres"
"","ACC_173","","","","","","","","","","B","Use of Academic English","C2-secure","exoplanet atmospheric science"
"","ACC_174","","","","","","","","","","B","Abstract Revision","PhD-screening","conservation genomics"
"","ACC_175","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","biodiversity monitoring"
"","ACC_176","","","","","","","","","","B","Use of Academic English","C2-entry","machine learning methodology"
"","ACC_177","","","","","","","","","","B","Abstract Revision","C2-secure","tabular machine learning"
"","ACC_178","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","robotics"
"","ACC_179","","","","","","","","","","B","Use of Academic English","C1-high","robotic perception"
"","ACC_180","","","","","","","","","","B","Abstract Revision","C2-entry","embodied AI"
"","ACC_181","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","computational structural biology"
"","ACC_182","","","","","","","","","","B","Use of Academic English","PhD-screening","climate informatics"
"","ACC_183","","","","","","","","","","B","Abstract Revision","C1-high","atmospheric modelling"
"","ACC_184","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","earth-system AI"
"","ACC_185","","","","","","","","","","B","Use of Academic English","C2-secure","climate modelling"
"","ACC_186","","","","","","","","","","B","Abstract Revision","PhD-screening","clinical AI"
"","ACC_187","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","translational medicine"
"","ACC_188","","","","","","","","","","B","Use of Academic English","C2-entry","computational pathology"
"","ACC_189","","","","","","","","","","B","Abstract Revision","C2-secure","multimodal pathology"
"","ACC_190","","","","","","","","","","B","Lexico-Syntactic Control","PhD-screening","meta-science"
"","ACC_191","","","","","","","","","","B","Use of Academic English","C1-high","research evaluation"
"","ACC_192","","","","","","","","","","B","Abstract Revision","C2-entry","science communication"
"","ACC_193","","","","","","","","","","B","Lexico-Syntactic Control","C2-secure","energy systems"
"","ACC_194","","","","","","","","","","B","Use of Academic English","PhD-screening","clean-energy planning"
"","ACC_195","","","","","","","","","","B","Abstract Revision","C1-high","permafrost carbon science"
"","ACC_196","","","","","","","","","","B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry"
"","ACC_197","","","","","","","","","","B","Use of Academic English","C2-secure","carbon-cycle science"
"","ACC_198","","","","","","","","","","B","Abstract Revision","PhD-screening","atmospheric health science"
"","ACC_199","","","","","","","","","","B","Lexico-Syntactic Control","C1-high","climate attribution"
"","ACC_200","","","","","","","","","","B","Use of Academic English","C2-entry","environmental epidemiology"
"","ACC_201","","","","","","","","","","C","Data Interpretation","PhD-screening","exoplanet spectroscopy"
"","ACC_202","","","","","","","","","","C","Methodological Reasoning","C1-high","planetary atmospheres"
"","ACC_203","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science"
"","ACC_204","","","","","","","","","","C","Data Interpretation","C2-secure","conservation genomics"
"","ACC_205","","","","","","","","","","C","Methodological Reasoning","PhD-screening","biodiversity monitoring"
"","ACC_206","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology"
"","ACC_207","","","","","","","","","","C","Data Interpretation","C2-entry","tabular machine learning"
"","ACC_208","","","","","","","","","","C","Methodological Reasoning","C2-secure","robotics"
"","ACC_209","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception"
"","ACC_210","","","","","","","","","","C","Data Interpretation","C1-high","embodied AI"
"","ACC_211","","","","","","","","","","C","Methodological Reasoning","C2-entry","computational structural biology"
"","ACC_212","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","climate informatics"
"","ACC_213","","","","","","","","","","C","Data Interpretation","PhD-screening","atmospheric modelling"
"","ACC_214","","","","","","","","","","C","Methodological Reasoning","C1-high","earth-system AI"
"","ACC_215","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","climate modelling"
"","ACC_216","","","","","","","","","","C","Data Interpretation","C2-secure","clinical AI"
"","ACC_217","","","","","","","","","","C","Methodological Reasoning","PhD-screening","translational medicine"
"","ACC_218","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","computational pathology"
"","ACC_219","","","","","","","","","","C","Data Interpretation","C2-entry","multimodal pathology"
"","ACC_220","","","","","","","","","","C","Methodological Reasoning","C2-secure","meta-science"
"","ACC_221","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation"
"","ACC_222","","","","","","","","","","C","Data Interpretation","C1-high","science communication"
"","ACC_223","","","","","","","","","","C","Methodological Reasoning","C2-entry","energy systems"
"","ACC_224","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning"
"","ACC_225","","","","","","","","","","C","Data Interpretation","PhD-screening","permafrost carbon science"
"","ACC_226","","","","","","","","","","C","Methodological Reasoning","C1-high","cryosphere geochemistry"
"","ACC_227","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science"
"","ACC_228","","","","","","","","","","C","Data Interpretation","C2-secure","atmospheric health science"
"","ACC_229","","","","","","","","","","C","Methodological Reasoning","PhD-screening","climate attribution"
"","ACC_230","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology"
"","ACC_231","","","","","","","","","","C","Data Interpretation","C2-entry","exoplanet spectroscopy"
"","ACC_232","","","","","","","","","","C","Methodological Reasoning","C2-secure","planetary atmospheres"
"","ACC_233","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science"
"","ACC_234","","","","","","","","","","C","Data Interpretation","C1-high","conservation genomics"
"","ACC_235","","","","","","","","","","C","Methodological Reasoning","C2-entry","biodiversity monitoring"
"","ACC_236","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology"
"","ACC_237","","","","","","","","","","C","Data Interpretation","PhD-screening","tabular machine learning"
"","ACC_238","","","","","","","","","","C","Methodological Reasoning","C1-high","robotics"
"","ACC_239","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","robotic perception"
"","ACC_240","","","","","","","","","","C","Data Interpretation","C2-secure","embodied AI"
"","ACC_241","","","","","","","","","","C","Methodological Reasoning","PhD-screening","computational structural biology"
"","ACC_242","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","climate informatics"
"","ACC_243","","","","","","","","","","C","Data Interpretation","C2-entry","atmospheric modelling"
"","ACC_244","","","","","","","","","","C","Methodological Reasoning","C2-secure","earth-system AI"
"","ACC_245","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","climate modelling"
"","ACC_246","","","","","","","","","","C","Data Interpretation","C1-high","clinical AI"
"","ACC_247","","","","","","","","","","C","Methodological Reasoning","C2-entry","translational medicine"
"","ACC_248","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","computational pathology"
"","ACC_249","","","","","","","","","","C","Data Interpretation","PhD-screening","multimodal pathology"
"","ACC_250","","","","","","","","","","C","Methodological Reasoning","C1-high","meta-science"
"","ACC_251","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","research evaluation"
"","ACC_252","","","","","","","","","","C","Data Interpretation","C2-secure","science communication"
"","ACC_253","","","","","","","","","","C","Methodological Reasoning","PhD-screening","energy systems"
"","ACC_254","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","clean-energy planning"
"","ACC_255","","","","","","","","","","C","Data Interpretation","C2-entry","permafrost carbon science"
"","ACC_256","","","","","","","","","","C","Methodological Reasoning","C2-secure","cryosphere geochemistry"
"","ACC_257","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","carbon-cycle science"
"","ACC_258","","","","","","","","","","C","Data Interpretation","C1-high","atmospheric health science"
"","ACC_259","","","","","","","","","","C","Methodological Reasoning","C2-entry","climate attribution"
"","ACC_260","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","environmental epidemiology"
"","ACC_261","","","","","","","","","","C","Data Interpretation","PhD-screening","exoplanet spectroscopy"
"","ACC_262","","","","","","","","","","C","Methodological Reasoning","C1-high","planetary atmospheres"
"","ACC_263","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science"
"","ACC_264","","","","","","","","","","C","Data Interpretation","C2-secure","conservation genomics"
"","ACC_265","","","","","","","","","","C","Methodological Reasoning","PhD-screening","biodiversity monitoring"
"","ACC_266","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology"
"","ACC_267","","","","","","","","","","C","Data Interpretation","C2-entry","tabular machine learning"
"","ACC_268","","","","","","","","","","C","Methodological Reasoning","C2-secure","robotics"
"","ACC_269","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception"
"","ACC_270","","","","","","","","","","C","Data Interpretation","C1-high","embodied AI"
"","ACC_271","","","","","","","","","","C","Methodological Reasoning","C2-entry","computational structural biology"
"","ACC_272","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","climate informatics"
"","ACC_273","","","","","","","","","","C","Data Interpretation","PhD-screening","atmospheric modelling"
"","ACC_274","","","","","","","","","","C","Methodological Reasoning","C1-high","earth-system AI"
"","ACC_275","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","climate modelling"
"","ACC_276","","","","","","","","","","C","Data Interpretation","C2-secure","clinical AI"
"","ACC_277","","","","","","","","","","C","Methodological Reasoning","PhD-screening","translational medicine"
"","ACC_278","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","computational pathology"
"","ACC_279","","","","","","","","","","C","Data Interpretation","C2-entry","multimodal pathology"
"","ACC_280","","","","","","","","","","C","Methodological Reasoning","C2-secure","meta-science"
"","ACC_281","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation"
"","ACC_282","","","","","","","","","","C","Data Interpretation","C1-high","science communication"
"","ACC_283","","","","","","","","","","C","Methodological Reasoning","C2-entry","energy systems"
"","ACC_284","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning"
"","ACC_285","","","","","","","","","","C","Data Interpretation","PhD-screening","permafrost carbon science"
"","ACC_286","","","","","","","","","","C","Methodological Reasoning","C1-high","cryosphere geochemistry"
"","ACC_287","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science"
"","ACC_288","","","","","","","","","","C","Data Interpretation","C2-secure","atmospheric health science"
"","ACC_289","","","","","","","","","","C","Methodological Reasoning","PhD-screening","climate attribution"
"","ACC_290","","","","","","","","","","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology"
"","ACC_291","","","","","","","","","","C","Data Interpretation","C2-entry","exoplanet spectroscopy"
"","ACC_292","","","","","","","","","","C","Methodological Reasoning","C2-secure","planetary atmospheres"
"","ACC_293","","","","","","","","","","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science"
"","ACC_294","","","","","","","","","","C","Data Interpretation","C1-high","conservation genomics"
"","ACC_295","","","","","","","","","","C","Methodological Reasoning","C2-entry","biodiversity monitoring"
"","ACC_296","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology"
"","ACC_297","","","","","","","","","","C","Data Interpretation","PhD-screening","tabular machine learning"
"","ACC_298","","","","","","","","","","C","Methodological Reasoning","C1-high","robotics"
"","ACC_299","","","","","","","","","","C","Evidence-to-Claim Mapping","C2-entry","robotic perception"
"","ACC_300","","","","","","","","","","C","Data Interpretation","C2-secure","embodied AI"
