"priority","item_id","category","skill_module","difficulty_tier","source_domain","reasons"
"P3","ACC_180","B","Abstract Revision","C2-entry","embodied AI",""
"P3","ACC_181","B","Lexico-Syntactic Control","C2-secure","computational structural biology",""
"P3","ACC_182","B","Use of Academic English","PhD-screening","climate informatics",""
"P3","ACC_183","B","Abstract Revision","C1-high","atmospheric modelling",""
"P3","ACC_184","B","Lexico-Syntactic Control","C2-entry","earth-system AI",""
"P3","ACC_185","B","Use of Academic English","C2-secure","climate modelling",""
"P3","ACC_186","B","Abstract Revision","PhD-screening","clinical AI",""
"P3","ACC_187","B","Lexico-Syntactic Control","C1-high","translational medicine",""
"P3","ACC_188","B","Use of Academic English","C2-entry","computational pathology",""
"P3","ACC_189","B","Abstract Revision","C2-secure","multimodal pathology",""
"P3","ACC_190","B","Lexico-Syntactic Control","PhD-screening","meta-science",""
"P3","ACC_191","B","Use of Academic English","C1-high","research evaluation",""
"P3","ACC_192","B","Abstract Revision","C2-entry","science communication",""
"P3","ACC_193","B","Lexico-Syntactic Control","C2-secure","energy systems",""
"P3","ACC_194","B","Use of Academic English","PhD-screening","clean-energy planning",""
"P3","ACC_195","B","Abstract Revision","C1-high","permafrost carbon science",""
"P3","ACC_196","B","Lexico-Syntactic Control","C2-entry","cryosphere geochemistry",""
"P3","ACC_197","B","Use of Academic English","C2-secure","carbon-cycle science",""
"P3","ACC_198","B","Abstract Revision","PhD-screening","atmospheric health science",""
"P3","ACC_199","B","Lexico-Syntactic Control","C1-high","climate attribution",""
"P3","ACC_200","B","Use of Academic English","C2-entry","environmental epidemiology",""
"P3","ACC_201","C","Data Interpretation","PhD-screening","exoplanet spectroscopy",""
"P3","ACC_202","C","Methodological Reasoning","C1-high","planetary atmospheres",""
"P3","ACC_203","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science",""
"P3","ACC_204","C","Data Interpretation","C2-secure","conservation genomics",""
"P3","ACC_205","C","Methodological Reasoning","PhD-screening","biodiversity monitoring",""
"P3","ACC_206","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology",""
"P3","ACC_207","C","Data Interpretation","C2-entry","tabular machine learning",""
"P3","ACC_208","C","Methodological Reasoning","C2-secure","robotics",""
"P3","ACC_209","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception",""
"P3","ACC_210","C","Data Interpretation","C1-high","embodied AI",""
"P3","ACC_211","C","Methodological Reasoning","C2-entry","computational structural biology",""
"P3","ACC_212","C","Evidence-to-Claim Mapping","C2-secure","climate informatics",""
"P3","ACC_213","C","Data Interpretation","PhD-screening","atmospheric modelling",""
"P3","ACC_214","C","Methodological Reasoning","C1-high","earth-system AI",""
"P3","ACC_215","C","Evidence-to-Claim Mapping","C2-entry","climate modelling",""
"P3","ACC_216","C","Data Interpretation","C2-secure","clinical AI",""
"P3","ACC_217","C","Methodological Reasoning","PhD-screening","translational medicine",""
"P3","ACC_218","C","Evidence-to-Claim Mapping","C1-high","computational pathology",""
"P3","ACC_219","C","Data Interpretation","C2-entry","multimodal pathology",""
"P3","ACC_220","C","Methodological Reasoning","C2-secure","meta-science",""
"P3","ACC_221","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation",""
"P3","ACC_222","C","Data Interpretation","C1-high","science communication",""
"P3","ACC_223","C","Methodological Reasoning","C2-entry","energy systems",""
"P3","ACC_224","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning",""
"P3","ACC_225","C","Data Interpretation","PhD-screening","permafrost carbon science",""
"P3","ACC_226","C","Methodological Reasoning","C1-high","cryosphere geochemistry",""
"P3","ACC_227","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science",""
"P3","ACC_228","C","Data Interpretation","C2-secure","atmospheric health science",""
"P3","ACC_229","C","Methodological Reasoning","PhD-screening","climate attribution",""
"P3","ACC_230","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology",""
"P3","ACC_231","C","Data Interpretation","C2-entry","exoplanet spectroscopy",""
"P3","ACC_232","C","Methodological Reasoning","C2-secure","planetary atmospheres",""
"P3","ACC_233","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_234","C","Data Interpretation","C1-high","conservation genomics",""
"P3","ACC_235","C","Methodological Reasoning","C2-entry","biodiversity monitoring",""
"P3","ACC_236","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology",""
"P3","ACC_237","C","Data Interpretation","PhD-screening","tabular machine learning",""
"P3","ACC_238","C","Methodological Reasoning","C1-high","robotics",""
"P3","ACC_239","C","Evidence-to-Claim Mapping","C2-entry","robotic perception",""
"P3","ACC_240","C","Data Interpretation","C2-secure","embodied AI",""
"P3","ACC_241","C","Methodological Reasoning","PhD-screening","computational structural biology",""
"P3","ACC_242","C","Evidence-to-Claim Mapping","C1-high","climate informatics",""
"P3","ACC_243","C","Data Interpretation","C2-entry","atmospheric modelling",""
"P3","ACC_244","C","Methodological Reasoning","C2-secure","earth-system AI",""
"P3","ACC_245","C","Evidence-to-Claim Mapping","PhD-screening","climate modelling",""
"P3","ACC_246","C","Data Interpretation","C1-high","clinical AI",""
"P3","ACC_247","C","Methodological Reasoning","C2-entry","translational medicine",""
"P3","ACC_248","C","Evidence-to-Claim Mapping","C2-secure","computational pathology",""
"P3","ACC_249","C","Data Interpretation","PhD-screening","multimodal pathology",""
"P3","ACC_250","C","Methodological Reasoning","C1-high","meta-science",""
"P3","ACC_251","C","Evidence-to-Claim Mapping","C2-entry","research evaluation",""
"P3","ACC_252","C","Data Interpretation","C2-secure","science communication",""
"P3","ACC_253","C","Methodological Reasoning","PhD-screening","energy systems",""
"P3","ACC_254","C","Evidence-to-Claim Mapping","C1-high","clean-energy planning",""
"P3","ACC_255","C","Data Interpretation","C2-entry","permafrost carbon science",""
"P3","ACC_256","C","Methodological Reasoning","C2-secure","cryosphere geochemistry",""
"P3","ACC_257","C","Evidence-to-Claim Mapping","PhD-screening","carbon-cycle science",""
"P3","ACC_258","C","Data Interpretation","C1-high","atmospheric health science",""
"P3","ACC_259","C","Methodological Reasoning","C2-entry","climate attribution",""
"P3","ACC_260","C","Evidence-to-Claim Mapping","C2-secure","environmental epidemiology",""
"P3","ACC_261","C","Data Interpretation","PhD-screening","exoplanet spectroscopy",""
"P3","ACC_262","C","Methodological Reasoning","C1-high","planetary atmospheres",""
"P3","ACC_263","C","Evidence-to-Claim Mapping","C2-entry","exoplanet atmospheric science",""
"P3","ACC_264","C","Data Interpretation","C2-secure","conservation genomics",""
"P3","ACC_265","C","Methodological Reasoning","PhD-screening","biodiversity monitoring",""
"P3","ACC_266","C","Evidence-to-Claim Mapping","C1-high","machine learning methodology",""
"P3","ACC_267","C","Data Interpretation","C2-entry","tabular machine learning",""
"P3","ACC_268","C","Methodological Reasoning","C2-secure","robotics",""
"P3","ACC_269","C","Evidence-to-Claim Mapping","PhD-screening","robotic perception",""
"P3","ACC_270","C","Data Interpretation","C1-high","embodied AI",""
"P3","ACC_271","C","Methodological Reasoning","C2-entry","computational structural biology",""
"P3","ACC_272","C","Evidence-to-Claim Mapping","C2-secure","climate informatics",""
"P3","ACC_273","C","Data Interpretation","PhD-screening","atmospheric modelling",""
"P3","ACC_274","C","Methodological Reasoning","C1-high","earth-system AI",""
"P3","ACC_275","C","Evidence-to-Claim Mapping","C2-entry","climate modelling",""
"P3","ACC_276","C","Data Interpretation","C2-secure","clinical AI",""
"P3","ACC_277","C","Methodological Reasoning","PhD-screening","translational medicine",""
"P3","ACC_278","C","Evidence-to-Claim Mapping","C1-high","computational pathology",""
"P3","ACC_279","C","Data Interpretation","C2-entry","multimodal pathology",""
"P3","ACC_280","C","Methodological Reasoning","C2-secure","meta-science",""
"P3","ACC_281","C","Evidence-to-Claim Mapping","PhD-screening","research evaluation",""
"P3","ACC_282","C","Data Interpretation","C1-high","science communication",""
"P3","ACC_283","C","Methodological Reasoning","C2-entry","energy systems",""
"P3","ACC_284","C","Evidence-to-Claim Mapping","C2-secure","clean-energy planning",""
"P3","ACC_285","C","Data Interpretation","PhD-screening","permafrost carbon science",""
"P3","ACC_286","C","Methodological Reasoning","C1-high","cryosphere geochemistry",""
"P3","ACC_287","C","Evidence-to-Claim Mapping","C2-entry","carbon-cycle science",""
"P3","ACC_288","C","Data Interpretation","C2-secure","atmospheric health science",""
"P3","ACC_289","C","Methodological Reasoning","PhD-screening","climate attribution",""
"P3","ACC_290","C","Evidence-to-Claim Mapping","C1-high","environmental epidemiology",""
"P3","ACC_291","C","Data Interpretation","C2-entry","exoplanet spectroscopy",""
"P3","ACC_292","C","Methodological Reasoning","C2-secure","planetary atmospheres",""
"P3","ACC_293","C","Evidence-to-Claim Mapping","PhD-screening","exoplanet atmospheric science",""
"P3","ACC_294","C","Data Interpretation","C1-high","conservation genomics",""
"P3","ACC_295","C","Methodological Reasoning","C2-entry","biodiversity monitoring",""
"P3","ACC_296","C","Evidence-to-Claim Mapping","C2-secure","machine learning methodology",""
"P3","ACC_297","C","Data Interpretation","PhD-screening","tabular machine learning",""
"P3","ACC_298","C","Methodological Reasoning","C1-high","robotics",""
"P3","ACC_299","C","Evidence-to-Claim Mapping","C2-entry","robotic perception",""
"P3","ACC_300","C","Data Interpretation","C2-secure","embodied AI",""
