"item_id","has_table","has_visualization","type","series_count","has_estimate","has_sensitivity","has_missingness","has_aria_label","encoding_count"
"ACC_261","true","true","interval-bar","3","true","true","true","true","3"
"ACC_262","true","true","interval-bar","3","true","true","true","true","3"
"ACC_263","true","true","interval-bar","3","true","true","true","true","3"
"ACC_264","true","true","interval-bar","3","true","true","true","true","3"
"ACC_265","true","true","interval-bar","3","true","true","true","true","3"
"ACC_266","true","true","interval-bar","3","true","true","true","true","3"
"ACC_267","true","true","interval-bar","3","true","true","true","true","3"
"ACC_268","true","true","interval-bar","3","true","true","true","true","3"
"ACC_269","true","true","interval-bar","3","true","true","true","true","3"
"ACC_270","true","true","interval-bar","3","true","true","true","true","3"
"ACC_271","true","true","interval-bar","3","true","true","true","true","3"
"ACC_272","true","true","interval-bar","3","true","true","true","true","3"
"ACC_273","true","true","interval-bar","3","true","true","true","true","3"
"ACC_274","true","true","interval-bar","3","true","true","true","true","3"
"ACC_275","true","true","interval-bar","3","true","true","true","true","3"
"ACC_276","true","true","interval-bar","3","true","true","true","true","3"
"ACC_277","true","true","interval-bar","3","true","true","true","true","3"
"ACC_278","true","true","interval-bar","3","true","true","true","true","3"
"ACC_279","true","true","interval-bar","3","true","true","true","true","3"
"ACC_280","true","true","interval-bar","3","true","true","true","true","3"
"ACC_281","true","true","interval-bar","3","true","true","true","true","3"
"ACC_282","true","true","interval-bar","3","true","true","true","true","3"
"ACC_283","true","true","interval-bar","3","true","true","true","true","3"
"ACC_284","true","true","interval-bar","3","true","true","true","true","3"
"ACC_285","true","true","interval-bar","3","true","true","true","true","3"
"ACC_286","true","true","interval-bar","3","true","true","true","true","3"
"ACC_287","true","true","interval-bar","3","true","true","true","true","3"
"ACC_288","true","true","interval-bar","3","true","true","true","true","3"
"ACC_289","true","true","interval-bar","3","true","true","true","true","3"
"ACC_290","true","true","interval-bar","3","true","true","true","true","3"
"ACC_291","true","true","interval-bar","3","true","true","true","true","3"
"ACC_292","true","true","interval-bar","3","true","true","true","true","3"
"ACC_293","true","true","interval-bar","3","true","true","true","true","3"
"ACC_294","true","true","interval-bar","3","true","true","true","true","3"
"ACC_295","true","true","interval-bar","3","true","true","true","true","3"
"ACC_296","true","true","interval-bar","3","true","true","true","true","3"
"ACC_297","true","true","interval-bar","3","true","true","true","true","3"
"ACC_298","true","true","interval-bar","3","true","true","true","true","3"
"ACC_299","true","true","interval-bar","3","true","true","true","true","3"
"ACC_300","true","true","interval-bar","3","true","true","true","true","3"
